"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,158091551.4,,
"USA","United States","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,61702592.467,"P","Provisional value"
"CAN","Canada","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2019","2019","NBR","Number","0","Units",,,33064000,,
"CAN","Canada","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2020","2020","NBR","Number","0","Units",,,8971000,,
"CAN","Canada","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2021","2021","NBR","Number","0","Units",,,4954000,,
"MEX","Mexico","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2019","2019","NBR","Number","0","Units",,,19810490,,
"MEX","Mexico","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2020","2020","NBR","Number","0","Units",,,7345347,,
"MEX","Mexico","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2021","2021","NBR","Number","0","Units",,,11543971,,
"USA","United States","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2019","2019","NBR","Number","0","Units",,,99755317.4,,
"USA","United States","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2020","2020","NBR","Number","0","Units",,,33499368.727,,
"USA","United States","OBND_DEP_OVERNIGHT","Overnight visitors (tourists)","2021","2021","NBR","Number","0","Units",,,49096891,,
"KOR","Korea","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,28714247,,
"KOR","Korea","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,4276006,,
"KOR","Korea","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,1222541,,
"JPN","Japan","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,20080669,,
"JPN","Japan","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,3174219,,
"JPN","Japan","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,512244,,
"MEX","Mexico","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,82752134,,
"MEX","Mexico","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,36055831,,
"MEX","Mexico","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,32836460,,
"MEX","Mexico","OBND_DEP_SAME_DAY","Same-day visitors (excursionists)","2019","2019","NBR","Number","0","Units",,,62941644,,
"MEX","Mexico","OBND_DEP_SAME_DAY","Same-day visitors (excursionists)","2020","2020","NBR","Number","0","Units",,,28710484,,
"MEX","Mexico","OBND_DEP_SAME_DAY","Same-day visitors (excursionists)","2021","2021","NBR","Number","0","Units",,,21292489,,
"USA","United States","OBND_DEP_SAME_DAY","Same-day visitors (excursionists)","2019","2019","NBR","Number","0","Units",,,58336234,,
"USA","United States","OBND_DEP_SAME_DAY","Same-day visitors (excursionists)","2020","2020","NBR","Number","0","Units",,,28203223.74,,
"USA","United States","MEX","Mexico","2019","2019","NBR","Number","0","Units",,,39942348,"P","Provisional value"
"USA","United States","MEX","Mexico","2020","2020","NBR","Number","0","Units",,,21729157.727,,
"USA","United States","MEX","Mexico","2021","2021","NBR","Number","0","Units",,,28789191.1,,
"USA","United States","GBR","United Kingdom","2019","2019","NBR","Number","0","Units",,,3943104,,
"USA","United States","GBR","United Kingdom","2020","2020","NBR","Number","0","Units",,,619983,,
